ctx_html.introtext	Aşağıdaki yardım içerikleri geçerli bağlam için kullanılır. Başlatmak istediğiniz öğeye tıklayın.
ctx_html.introtext_noresult	Geçerli bağlam için içerik mevcut değil. Başlıktan library açın veya daha geniş içerik için aramayı kullanın.
ctx_html.query_empty	Sorgu boş.
ctx_html.query_malformed	Sorgu geçersiz.
ctx_html.search	Ara
ctx_html.library	library aç
ctx_html.language	Dil
qr_hint_dlg.IDC_QR_HINT_DLG_CAPTION	Kayıt
qr_hint_dlg.dont_bother	Artık gösterme
qr_hint_dlg.hint_end	Kaydı sonlandırın.
qr_hint_dlg.hint_pause	Kaydı duraklatın.
btnOk	Teşekkürler
qr_hint_dlg.hint_title	Kayıt ipuçları
qr_hint_dlg.audio_help	Denetim seçmeden önce metninizi kaydedin.
quiz_error_no_template_file	Hata: Şablon bulunamadı. Varsayılan kullanılacak.
qr_hint_dlg.hint_end_1	END tuşu
qr_hint_dlg.hint_pause_1	PAUSE tuşu
