LIBRARY	library
TEST_START3	Φροντίστε κάθε επιλογή σας να είναι προσεκτική, αφού το σύστημα καταγράφει κάθε λάθος καταχώρηση και λάθος κλικ και ανάλογα μειώνει τους βαθμούς στην αξιολόγησή σας. Αν αποφασίσετε να ζητήσετε βοήθεια για κάποιο βήμα, χάνετε όλους τους βαθμούς που αντιστοιχούν σε αυτό το βήμα.
TEST_START4	Η αξιολόγησή σας θα εμφανιστεί στο τέλος του τεστ. Προσπαθήστε να επιτύχετε το βαθμολογικό στόχο του @{res_mastery_percent}% .
TEST_OK	Το τεστ ήταν επιτυχημένο
TEST_OK1	Συγχαρητήρια, ολοκληρώσατε επιτυχώς αυτή την εργασία.
TEST_FAILED	Το τέστ δεν ήταν επιτυχημένο
TEST_FAILED1	Επειδή οι βαθμοί σας ήταν λιγότεροι από @{res_mastery_percent}% των μέγιστων δυνατών βαθμών, σας συνιστούμε να ξαναδείτε τα περιεχόμενα αυτών των μαθημάτων και μετά να ξαναελέγξετε τις γνώσεις σας
TEST_FINISHED	Αυτό το τεστ είναι μόνο για την αυτοαξιολόγησή σας. Τα αποτελέσματα δεν θα καταγραφούν ή μεταφερθούν σε τρίτους.
TEST_SCORE	Βαθμολογία
TEST_SCOREVALUE	@{res_collected_points} από  @{res_possible_points}
FREEPRESENTATION_START	Λειτουργία Ελεύθερης Παρουσίασης
FREEPRESENTATION_START1	Η λειτουργία Ελεύθερης Παρουσίασης σας επιτρέπει να εκτελέσετε μια διαδικασία εντός της προσομοίωσης.
FREEPRESENTATION_START2	Εκτελέστε τις ενέργειες βήμα-βήμα. Χρησιμοποιήστε το πλήκτρο F1 για βοήθεια.
FREEPRESENTATION_STOP	Ελεύθερη Παρουσίαση ολοκληρώθηκε.
GUIDEDPRESENTATION_START	Λειτουργία Καθοδηγούμενης Παρουσίασης
GUIDEDPRESENTATION_START1	Η λειτουργία Καθοδηγούμενης Παρουσίασης εκτελεί μια διαδικασία εντός της προσομοίωσης αυτόματα. Ο δείκτης ποντικιού και μια επισήμανση εμφανίζει το τρέχον βήμα.
GUIDEDPRESENTATION_START2	Ακολουθήστε τις ενέργειες βήμα-βήμα και επιβεβαιώστε κάθε ενέργεια μετά.
GUIDEDPRESENTATION_STOP	Καθοδηγούμενη Παρουσίαση ολοκληρώθηκε.
EXER_FAIL1	Η ενέργεια που εκτελέσατε ήταν λανθασμένη.
EXER_FAIL2	Η ενέργεια που εκτελέσατε ήταν λανθασμένη. 1 βαθμός αφαιρείται από τη γενική σας βαθμολογία. Πόντοι διαθέσιμοι για αυτή την ενέργεια: @1_rest-points_.
EXER_FAIL3	Η ενέργεια που εκτελέσατε ήταν λανθασμένη. 1 βαθμός αφαιρείται για κάθε λάθος από τη γενική σας βαθμολογία. Πόντοι διαθέσιμοι για αυτή την ενέργεια: @1_rest-points_.
EXER_FAILKEY1	Πιέσατε το πλήκτρο @1_key_.
EXER_FAILKEY2	Οι κωδικοί λειτουργίας που μπορούν να χρησιμοποιηθού είναι: @1_keys_.
EXER_FAILRADIO	Ολα τα έγκυρα πλήκτρα έχουν τονιστεί.
