TOUR_PLAY	続行ボタン
TOUR_JUMP	シミュレーション内の別のステップにジャンプしました。
TOUR_PREV	前画面
TOUR_NEXT	次
USER_ACTION_CORRECT_ACTION	学習者はステップを正しく実行しました。
USER_ACTION_WRONG_ACTION	学習者は間違った操作をしました。
USER_ACTION_GOON	学習者が "続行" をクリックしたため、このステップのポイントは与えられません。
USER_ACTION_GOON_AUTO	間違いが多いため、シミュレーションは自動的に続行されました。
USER_ACTION_HELP	学習者がヘルプを依頼したため、このステップのポイントは与えられません。
SLIDE_USER_ACTION_TEXTBOX_OPEN	学習者はテキストボックスを開きました。
SLIDE_USER_ACTION_TEXTBOX_CLOSE	学習者はテキストボックスを閉じました。
QUIZ_CORRECT_RESPONSE	正解
QUIZ_STUDENT_RESPONSE	学習者からの回答
QUIZ_LATENCY	時間
QUIZ_SCORE	獲得点数
QUIZ_REQ_SCORE	必要な得点
QUIZ_MAX_SCORE	最高得点
QUIZ_TIMEOUT_REACHED	タイムアウト発生
QUIZTYPE_MCHOICE	クイズ: 複数選択
QUIZTYPE_SQMAQUIZ	クイズ: 項目に入力
QUIZTYPE_FIBQUIZ	クイズ: 空欄に入力
QUIZTYPE_MATCHQUIZ	クイズ: 一致
QUIZTYPE_CONNQUIZ	クイズ: 接続
QUIZTYPE_SCALEQUIZ	クイズ: スライドコントロール
QUIZTYPE_GRIDQUIZ	クイズ: グリッド
QUIZTYPE_HOTSPOTQUIZ	クイズ: ホットスポット
QUIZTYPE_PUZZLEQUIZ	クイズ: パズル
QUIZTYPE_MIXQUIZ	クイズ: ソート
CONNECTING	接続しています...
SYNCHRONIZE	同期
SYNCHRONIZED	同期済
CONNECT	接続
BUBBLESTYLE_NOT_FOUND	吹き出しのスタイルが見つかりません。
LOADING_MACROSET	コンテンツおよびリソースをロードしています。
ZOOM_LEVEL_NOTIFICATION	警告:  ズームレベルが 100% ではありません。
ctx_html.header_title	コンテキストヘルプ
ctx_html.introtext	以下のヘルプコンテンツを現在のコンテキストに利用できます。開始するアイテムをクリックしてください。
ctx_html.introtext_noresult	現在のコンテキストに利用できるコンテンツはありません。ヘッダから library を開くか検索を使用して、追加コンテンツを取得してください。
ctx_html.query_empty	クエリが空です。
ctx_html.query_malformed	クエリが無効です。
ctx_html.search	検索
ctx_html.library	library を開く
ctx_html.language	言語
qr_hint_dlg.IDC_QR_HINT_DLG_CAPTION	レコーディング
qr_hint_dlg.dont_bother	再び表示しない
qr_hint_dlg.hint_end	レコーディングを終了します。
qr_hint_dlg.hint_pause	レコーディングを一時停止します。
btnOk	ありがとうございます
qr_hint_dlg.hint_title	レコーディングのヒント
qr_hint_dlg.audio_help	コントロールを選択する前にテキストをレコードします。
quiz_error_no_template_file	エラー: テンプレートファイルが見つかりませんでした。デフォルトが使用されます。
qr_hint_dlg.hint_end_1	終了キー
qr_hint_dlg.hint_pause_1	一時停止キー
